sk_local;bairro;endereco;latitude;longitude
228;NÃO INFORMADO;NÃO INFORMADO;-8.027102;-34.918346
229;NÃO INFORMADO;NÃO INFORMADO;-8.076454;-34.895947
230;NÃO INFORMADO;NÃO INFORMADO;-8.039885;-34.878733
231;NÃO INFORMADO;NÃO INFORMADO;-8.026011;-34.905742
232;NÃO INFORMADO;NÃO INFORMADO;-8.071552;-34.892042
233;NÃO INFORMADO;NÃO INFORMADO;-8.070946;-34.883856
234;NÃO INFORMADO;NÃO INFORMADO;-8.022207;-34.884167
235;NÃO INFORMADO;NÃO INFORMADO;-8.053971;-34.880186
236;NÃO INFORMADO;NÃO INFORMADO;-8.058916;-34.907247
237;NÃO INFORMADO;NÃO INFORMADO;-8.053801;-34.90457
238;NÃO INFORMADO;NÃO INFORMADO;-8.073321;-34.885218
239;NÃO INFORMADO;NÃO INFORMADO;-8.02413;-34.911547
240;NÃO INFORMADO;NÃO INFORMADO;-8.05429;-34.880401
241;NÃO INFORMADO;NÃO INFORMADO;-8.033166;-34.890132
242;NÃO INFORMADO;NÃO INFORMADO;-8.076406;-34.913124
243;NÃO INFORMADO;NÃO INFORMADO;-8.133647;-34.916439
244;NÃO INFORMADO;NÃO INFORMADO;-8.071164;-34.876335
245;NÃO INFORMADO;NÃO INFORMADO;-8.084787;-34.928606
246;NÃO INFORMADO;NÃO INFORMADO;-8.074967;-34.891436
247;NÃO INFORMADO;NÃO INFORMADO;-8.065168;-34.9191
248;NÃO INFORMADO;NÃO INFORMADO;-8.115729;-34.940536
249;NÃO INFORMADO;NÃO INFORMADO;-7.998749;-34.924132
250;NÃO INFORMADO;NÃO INFORMADO;-8.140508;-34.925666
251;NÃO INFORMADO;NÃO INFORMADO;-8.036894;-34.8904
252;NÃO INFORMADO;NÃO INFORMADO;-8.07263;-34.92669
253;NÃO INFORMADO;NÃO INFORMADO;-8.070596;-34.895968
254;NÃO INFORMADO;NÃO INFORMADO;-8.095617;-34.885942
