sk_tipo_acidente;causa_acidente;descricao_detalhada
44;Não classificado;MOTOQUEIRO CAIU NA VIA MAS JA FOI SOCORRIDO
45;Colisão entre veículos;COLISÃO ENTRE MOTO E CAMINÃO C/V
46;Colisão entre veículos;COLISÃO COM 1 VITIMA SOCORRIDO PELOS BOMBEIROS
47;Colisão entre veículos;COLISÃO COM 2 VITIMAS SOCORRIDOS PELOS SAMU
48;Colisão entre veículos;01 AUTO 01 MOTO
49;Colisão entre veículos;AUTO E MOTO
50;Colisão entre veículos;UM AUTO E UMA MOTO
51;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO C/V
52;Colisão entre veículos;COLISÃO COM 1 VITIMA
53;Colisão entre veículos;COLISÃO ENTRE UMA MOTO E UM TAXI
54;Colisão entre veículos;COLISÃO SEGUIDA DE CHOQUE -AUTO - MOTO
55;Colisão entre veículos;COLISÃO COM 2 VITIMAS A ESPERA DO SAMU
56;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE UM AUTO E UMA MOTO
57;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO COM VITIMA
58;Colisão entre veículos;COLISÃO ENTRE DUAS MOTOS- C/V JA SOCORRIDA
59;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO CV
60;Colisão entre veículos;COLISÃO COM 1 VITIMA SOCORRIDO PELO SAMU
61;Colisão entre veículos;AUTO X MOTO
62;Colisão entre veículos;COLISÃO COM VÍTIMA
63;Colisão entre veículos;CXAMINHÃO E MOTO
64;Colisão entre veículos;COM UMA VÍTIMA
65;Colisão entre veículos;COLS/V
66;Colisão entre veículos;UMA MOTO E UM AUTO
67;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO
68;Colisão entre veículos;AUTO - MOTO
69;Colisão entre veículos;COLISÃO COM VITIMA ENTRE UM AUTO E UMA MOTO
70;Colisão entre veículos;COLISÃO ENTRE DUAS MOTOS SUB/CID
71;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO VEÍCULO SE EVADIU DO LOCAL SEM PRESTAR SOCORRO
72;Colisão entre veículos;COLISÃO SEM VITIMAS
73;Colisão entre veículos;01 AUTO E 01 MOTO
74;Colisão entre veículos;UMA MOTO E UM CARRO ( RUA DR ALVARO FERRAZ )
75;Colisão entre veículos;ONIBUS E MOTO
76;Colisão entre veículos;COLISÃO ENTRE UMA AUTOMOVEL E UMA MOTOCICLETA
77;Colisão entre veículos;COLC/VSET SUB
78;Colisão entre veículos;COLISÃO ENTRE ÔNIBUS E MOTOCICLETA
79;Colisão entre veículos;COLISÃO ENTRE UMA MOTO E UM AUTO
80;Não classificado;MOTOQUEIRO CAI SÓ E FICA ACIDENTADO- FAMILIA VAI BUSCAR A MOTO DO MESMO
81;Atropelamento de pedestre;MOTO
82;Colisão entre veículos;COLISÃO ENTRE KOMBE E UMA MOTO
83;Colisão entre veículos;COLISÃO ENTRE AUTO (VIATURA) E MOTOCICLETA
84;Colisão entre veículos;COLISÃO ENTRE DOIS AUTOS
85;Colisão entre veículos;COLISÃO ENTRE MOTO E AUTO
86;Colisão entre veículos;COLISÃO COM 2 VITIMAS SOCORRIDO PELO SAMU
87;Colisão entre veículos;COLISÃO COM VITIMA
88;Colisão entre veículos;COLISÃO COM 1 VITIMA A ESPERA DO SAMU
89;Colisão entre veículos;DUAS MOTOS
90;Colisão entre veículos;ENTRE UM AUTO E UMA MOTO
91;Colisão entre veículos;COLISÃO COM VITIMA '
92;Colisão entre veículos;UM AUTO E DUAS MOTOS
93;Colisão entre veículos;DOIS AUTO E UMA MOTO
94;Colisão entre veículos;COLISÃO ENTRE UMA MOTO E UM AUTO COM VÍTIMA
95;Colisão entre veículos;COLISÃO ENTRE UM CARRO E UMA MOTO
96;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTO- C/V
97;Colisão entre veículos;COLISAÕ ENTRE UMA MOTO E UM CARRO COM VÍTIMA
98;Colisão entre veículos;COLISÃO ENTRE AUTO E UMA MOTOCICLETA
99;Colisão entre veículos;COLISÃO COM 1 VITIMA SOCORRIDA PELO SAMU
100;Colisão entre veículos;COLISÃO COM 2 VITIMAS SOCORRIDAS PELO SAMU
101;Colisão entre veículos;02 MOTOS
102;Colisão entre veículos;2 MOTOS
103;Colisão entre veículos;ENTRE UMA MOTO E UM AUTO
104;Colisão entre veículos;COLISAO COM VITIMA ENTRE MOTO E CAMINHAO
105;Colisão entre veículos;COLISÃO COM VÍTIMA ENTRE AUTO E MOTOCICLETA
106;Colisão entre veículos;COLISÃO COM 2 VITIMAS GM HELIO QTH
107;Colisão entre veículos;COLISÃO ENVOLVENDO AUTO E MOTO COM LESÕES
108;Colisão entre veículos;MOTOX AUTO
109;Colisão entre veículos;COLISÃO ENTRE UM AUTO E UMA MOTOCICLETA COM VÍTIMA- LOCAL DESCARACTERIZADO PELOS CONDUTORES
110;Colisão entre veículos;COLISÃO ENTRE UM CAMINHÃO E UMA MOTOCICLETA
111;Colisão entre veículos;MOTO E AUTO / SERGIO LUIS BT 05 NO QTH
112;Colisão entre veículos;COLISÃO ENTRE AUTO E MOTOCICLETA COM VÍTIMA
113;Colisão entre veículos;COLISÃO ENTRE UM VEICULO E UMA MOTO
114;Colisão entre veículos;TRES AUTO E UMA MOTO
115;Colisão entre veículos;ENTRE UM AUTO E UMA MOTO COM VITIMA
116;Colisão entre veículos;TRES CARROS E DUAS MOTOS
117;Colisão entre veículos;2 MOTOS E UM AUTO
118;Colisão entre veículos;MOTOCICLISTA COLIDIU COM A MURETA DO VIADUTO
119;Não classificado;COLISÃO AUTO E MOTO.
120;Colisão entre veículos;C/V ENTRE KOMBI E MOTO
121;Colisão entre veículos;COLCOM VITMA
122;Atropelamento de pedestre;COLISÃO E ATROPOLAMENTO / AUTO E MOTO / SUB ANDRADE MT 05 NO QTH
123;Atropelamento de pedestre;ATROPELAMENTO ENVOLVENDO MOTOCICLETA E PEDESTRE COM VITIMA FATAL
124;Atropelamento de pedestre;AUTO PASSEIO
125;Atropelamento de pedestre;ATROPELAMENTO COM 2 VITIMAS
126;Atropelamento de pedestre;ENTRE UM PEDESTRE E UMA CINQUENTINHA
127;Atropelamento de pedestre;ATROPELAMENTO DE PEDESTRE
128;Atropelamento de pedestre;NÃO INFORMADO
129;Atropelamento de pedestre;ATROLELAMENTO
130;Atropelamento de pedestre;ATROPELAMENTO DE MOTO EM PEDESTRE- JÁ SENDO SOCORRIDO PELO SAMU
131;Atropelamento de pedestre;ATROPELAMENTO ENVOLVENDO PEDESTRE NO AGUARDO DE ATENDIMENTO
132;Atropelamento de pedestre;AUTO E CICLISTA- VITIMA JA SOCORRIDA PELO SAMU
133;Atropelamento de pedestre;VIATURA DO SAMU ATROPELOU O PEDESTRE
134;Atropelamento de pedestre;ATROPELAMENTO
135;Atropelamento de pedestre;ATROPELAMENTO DE PEDESTRE NA FAIXA DO BRT- O VEÍCULO SE ENCONTRA AO LADO DA IPUTINGA AUTO MOVEIS
136;Atropelamento de pedestre;ATROPELAMENTO AUTO X PEDESTRE
137;Atropelamento de pedestre;ATROPELAMENTO UMA MOTO COM UMA CRIANÇA
138;Atropelamento de pedestre;ATROPELAMENTO COM UMA VITIMA
139;Colisão entre veículos;DOIS AUTOS
140;Colisão entre veículos;NÃO INFORMADO
141;Colisão entre veículos;4 CARROS - CAMINHAO
142;Colisão entre veículos;COLISÃO COM VITIMAS
143;Colisão entre veículos;DOIS AUTO
144;Colisão entre veículos;DOIS AUTO X CAMINHAO
145;Colisão entre veículos;COLISAO ENTRE DOIS AUTO
146;Colisão entre veículos;COLISAO DE DOIS AUTOS COM UMA VITIMA
147;Colisão entre veículos;CONDUTOR COLIDIU CONTRA UM POSTE VITIMA SOCORRIDA OBS POSTE CAIDO NO MEIO DA VIA
148;Colisão entre veículos;TIJOLO CAIU EM CIMA DO VEICULO COM VITIMA A ESPERA DO SAMU
149;Colisão entre veículos;COLISAO ENTRE DOIS AUTOS
150;Atropelamento de pedestre;ENVOLVENDO UMA MOTO E UM PEDESTRE
151;Atropelamento de pedestre;ATROPELAMENTO MOTO E PEDESTRE
